time	accel_ms2
5.605	0.080374113
5.61	0.057995368
5.615	0.027606449
5.62	-0.010146478
5.625	-0.050048715
5.63	-0.084752295
5.635	-0.10948105
5.64	-0.12525146
5.645	-0.13720317
5.65	-0.1490072
5.655	-0.15799908
5.66	-0.15524091
5.665	-0.13082826
5.67	-0.08131554
5.675	-0.014364596
5.68	0.052992607
5.685	0.10131865
5.69	0.11658312
5.695	0.095010377
5.7	0.043121242
5.705	-0.026446945
5.71	-0.10039299
5.715	-0.168461
5.72	-0.22452175
5.725	-0.26549943
5.73	-0.28881297
5.735	-0.28952381
5.74	-0.25864779
5.745	-0.18463832
5.75	-0.059985637
5.755	0.10823063
5.76	0.29067881
5.765	0.43955182
5.77	0.5067213
5.775	0.46794588
5.78	0.33638862
5.785	0.15499827
5.79	-0.025021047
5.795	-0.16315184
5.8	-0.23695497
5.805	-0.24158491
5.81	-0.18854365
5.815	-0.1043307
5.82	-0.023995209
5.825	0.021975845
5.83	0.020938707
5.835	-0.016989718
5.84	-0.065359086
5.845	-0.09487456
5.85	-0.086033918
5.855	-0.034855392
5.86	0.048604438
5.865	0.14511538
5.87	0.23181456
5.875	0.28777398
5.88	0.29874459
5.885	0.25997085
5.89	0.17694396
5.895	0.063787229
5.9	-0.061282691
5.905	-0.18207815
5.91	-0.28880676
5.915	-0.37757617
5.92	-0.44554234
5.925	-0.4865021
5.93	-0.49169881
5.935	-0.45554668
5.94	-0.38122261
5.945	-0.28151628
5.95	-0.17416551
5.955	-0.074579867
5.96	0.009280181
5.965	0.076440205
5.97	0.12841967
5.975	0.16725948
5.98	0.19964522
5.985	0.2408097
5.99	0.30897041
5.995	0.41022649
6	0.52551393
6.005	0.6130743
6.01	0.62803469
6.015	0.54564223
6.02	0.37221654
6.025	0.13912259
6.03	-0.11175224
6.035	-0.33927137
6.04	-0.50799168
6.045	-0.59261651
6.05	-0.58534395
6.055	-0.50133164
6.06	-0.37482771
6.065	-0.24472312
6.07	-0.13781492
6.075	-0.06142573
6.08	-0.009343616
6.085	0.026103488
6.09	0.046108986
6.095	0.047178075
6.1	0.029908157
6.105	0.005231148
6.11	-0.008677666
6.115	0.003266439
6.12	0.042568219
6.125	0.0935938
6.13	0.12992864
6.135	0.12662045
6.14	0.070435611
6.145	-0.036329926
6.15	-0.17630426
6.155	-0.3185791
6.16	-0.42343767
6.165	-0.45400219
6.17	-0.3919367
6.175	-0.24749233
6.18	-0.055607203
6.185	0.14045793
6.19	0.30685931
6.195	0.42755105
6.2	0.50151988
6.205	0.53448996
6.21	0.53144529
6.215	0.49377937
6.22	0.421347
6.225	0.31716511
6.23	0.19152328
6.235	0.062354
6.24	-0.049718063
6.245	-0.12986645
6.25	-0.1752173
6.255	-0.1933294
6.26	-0.19440363
6.265	-0.18509796
6.27	-0.1692429
6.275	-0.15200139
6.28	-0.14046424
6.285	-0.13875385
6.29	-0.14248186
6.295	-0.13808901
6.3	-0.10836881
6.305	-0.0413015
6.31	0.062325008
6.315	0.18632143
6.32	0.3035084
6.325	0.38601393
6.33	0.41647177
6.335	0.39418734
6.34	0.33342635
6.345	0.25586484
6.35	0.18195594
6.355	0.12435085
6.36	0.08487933
6.365	0.056506142
6.37	0.029604518
6.375	-0.001404096
6.38	-0.035470385
6.385	-0.067243779
6.39	-0.091886056
6.395	-0.10828304
6.4	-0.11811821
6.405	-0.12287587
6.41	-0.12241834
6.415	-0.11636709
6.42	-0.10655977
6.425	-0.097451136
6.43	-0.092935532
6.435	-0.092771436
6.44	-0.093221888
6.445	-0.091784154
6.45	-0.091039551
6.455	-0.09654981
6.46	-0.1091585
6.465	-0.11916692
6.47	-0.10974506
6.475	-0.068203086
6.48	0.00391335
6.485	0.089783715
6.49	0.16486443
6.495	0.20654884
6.5	0.20101519
6.505	0.14636356
6.51	0.052719538
6.515	-0.059921327
6.52	-0.16581015
6.525	-0.24007849
6.53	-0.26648121
6.535	-0.24252428
6.54	-0.17909963
6.545	-0.094856444
6.55	-0.008941597
6.555	0.063772412
6.56	0.11380134
6.565	0.13604222
6.57	0.12915058
6.575	0.096743584
6.58	0.04909231
6.585	0.002285938
