"longitude","latitude","pga_cms2","pga_g"
-3.4,55.2,63.25,0.064497050470854
-3.2,55.2,66.075,0.0673777487725166
-3,55.2,66.075,0.0673777487725166
-2.8,55.2,49.74,0.0507206844335222
-2.6,55.2,49.74,0.0507206844335222
-2.4,55.2,49.74,0.0507206844335222
-2.2,55.2,29.92,0.0305099090922996
-2,55.2,25.065,0.0255591868782918
-1.8,55.2,14.065,0.0143423085355346
-1.6,55.2,8.81,0.00898369983633555
-5.6,55.4,60.08,0.0612645500757139
-4.6,55.4,31.075,0.0316876813182891
-4.4,55.4,27.795,0.0283430121397215
-4.2,55.4,15.665,0.0159738544762992
-4,55.4,27.21,0.0277464781551294
-3.8,55.4,40.82,0.041624815813759
-3.6,55.4,31.29,0.0319069203040794
-3.4,55.4,51.865,0.0528875813861003
-3.2,55.4,66.52,0.0678315224872918
-3,55.4,66.52,0.0678315224872918
-2.8,55.4,66.52,0.0678315224872918
-2.6,55.4,66.52,0.0678315224872918
-2.4,55.4,36.91,0.0376377254210153
-2.2,55.4,35.585,0.0362866014388196
-2,55.4,27.85,0.0283990965314353
-1.8,55.4,15.205,0.0155047850183294
-1.6,55.4,7.9045,0.00806034680548403
-5.6,55.6,101.425,0.103424716901286
-5.4,55.6,101.425,0.103424716901286
-5.2,55.6,103.25,0.105285698989971
-4.6,55.6,73.79,0.0752448593556413
-4.4,55.6,33.31,0.0339667470542948
-4.2,55.6,16.5,0.0168253175141358
-4,55.6,12.58,0.0128280299592623
-3.8,55.6,13.46,0.0137253802266829
-3.6,55.6,13.335,0.0135979157000607
-3.4,55.6,22.82,0.0232699239801563
-3.2,55.6,56,0.057104107926764
-3,55.6,56,0.057104107926764
-2.8,55.6,65.755,0.0670514395843637
-2.6,55.6,35.975,0.036684290761881
-2.4,55.6,38.505,0.0392641727807151
-2.2,55.6,29.69,0.0302753743633147
-2,55.6,15.065,0.0153620247485125
-1.8,55.6,7.8635,0.00801853844075194
-6.4,55.8,29.805,0.0303926417278072
-6.2,55.8,36.385,0.0371023744092019
-6,55.8,69.655,0.0710283328149776
-5.6,55.8,102.275,0.104291475682318
-5.4,55.8,102.275,0.104291475682318
-5.2,55.8,102.275,0.104291475682318
-5,55.8,102.275,0.104291475682318
-4.8,55.8,102.275,0.104291475682318
-4.6,55.8,75.89,0.077386263402895
-4.4,55.8,33.28,0.0339361555679055
-4.2,55.8,29.09,0.0296635446355279
-4,55.8,29.09,0.0296635446355279
-3.8,55.8,18.5,0.0188647499400917
-3.6,55.8,18.43,0.0187933698051832
-3.4,55.8,18.43,0.0187933698051832
-3.2,55.8,19.33,0.0197111143968634
-3,55.8,22.25,0.0226886857387589
-2.8,55.8,33.53,0.0341910846211499
