"event","channel","filtering","station","epidistance","station_latitude","station_longitude","Vs_30_value","site_type_binary","groundmotion","amplitude","component","groundmotion_bis","filtering_bis"
"swansea","Hchan","f10Hz","TGGS",145.146,50.477,-3.5536,759,"Soil","Vel_Max",0.0296,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","WACR",322.317,52.7246,0.6266,466,"Soil","Vel_Max",0.0055,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Hchan","f10Hz","WLF1",173.39,53.2894,-4.3966,2500,"Rock","Vel_Max",0.0389,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Bchan","f10Hz","FOEL",131.571,52.8879,-3.2012,760,"Soil","Vel_Max",0.02,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Bchan","f10Hz","LLW",120.612,52.8492,-3.665,900,"Rock","Vel_Max",0.0405,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Bchan","f10Hz","SBD",146.777,50.5653,-4.6856,900,"Rock","Vel_Max",0.0303,"maximum","PGV","low frequency filtering (10 Hz)"
"swansea","Bchan","f10Hz","WOL",188.163,51.31,-1.22,500,"Soil","Vel_Max",0.0319,"maximum","PGV","low frequency filtering (10 Hz)"
"dudley","Bchan","f25Hz","HBL2",79.95,52.0509,-3.0365,760,"Soil","Vel_Max",NA,"maximum","PGV","high frequency filtering (35 Hz)"
"dudley","Bchan","f25Hz","KEY2",82.64,52.879,-1.077,550,"Soil","Vel_Max",NA,"maximum","PGV","high frequency filtering (35 Hz)"
"dudley","Bchan","f25Hz","SWN",115.65,51.5137,-1.8007,500,"Soil","Vel_Max",NA,"maximum","PGV","high frequency filtering (35 Hz)"
"dudley","Bchan","f25Hz","LDU",147.5,53.8058,-1.554,1000,"Rock","Vel_Max",NA,"maximum","PGV","high frequency filtering (35 Hz)"
"dudley","Bchan","f25Hz","WOL",150.2,51.31,-1.22,500,"Soil","Vel_Max",NA,"maximum","PGV","high frequency filtering (35 Hz)"
"dudley","Bchan","f25Hz","AEU",229.6,52.6202,1.2347,500,"Soil","Vel_Max",NA,"maximum","PGV","high frequency filtering (35 Hz)"
